duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,proto,service,conn_state,src_port,dst_port,component,label,event_id,timestamp
2.243773663803545,901,293,11,1,tcp,-,S1,38255,5000,DU,Benign,evt_000000,2026-06-01 00:00:00
1.1680127150076034,1158,437,13,11,tcp,-,S1,13505,80,DU,Benign,evt_000001,2026-06-01 00:00:01
2.600360956645166,909,434,7,4,tcp,ssh,RSTO,31434,443,CU,Benign,evt_000002,2026-06-01 00:00:02
2.752451773112971,1695,167,6,5,udp,ssh,S1,52206,8080,DU,Benign,evt_000003,2026-06-01 00:00:03
0.43917184907693074,1371,271,13,7,udp,http,S1,25170,443,DU,Benign,evt_000004,2026-06-01 00:00:04
0.9582563945101454,676,58,9,1,tcp,-,RSTO,62311,80,CU,Benign,evt_000005,2026-06-01 00:00:05
2.1022723225338282,672,255,6,7,tcp,-,SF,28750,80,CU,Benign,evt_000006,2026-06-01 00:00:06
1.7470059261251343,987,112,17,4,udp,-,RSTO,51139,443,CU,Benign,evt_000007,2026-06-01 00:00:07
1.986559073996569,464,210,9,7,udp,http,SF,8388,443,O-Cloud-Edge-Server,Benign,evt_000008,2026-06-01 00:00:08
1.3175648579411359,1266,29,18,3,udp,ssh,SF,55961,8080,O-Cloud-Edge-Server,Benign,evt_000009,2026-06-01 00:00:09
2.703518379890263,944,304,13,0,udp,-,S1,31972,80,CU,Benign,evt_000010,2026-06-01 00:00:10
2.622233548343159,902,31,14,4,udp,-,SF,64941,8080,DU,Benign,evt_000011,2026-06-01 00:00:11
2.052824558048973,1074,263,11,8,udp,-,SF,46221,443,O-Cloud-Edge-Server,Benign,evt_000012,2026-06-01 00:00:12
2.901792965574426,1489,43,1,7,tcp,ssh,S1,48814,80,CU,Benign,evt_000013,2026-06-01 00:00:13
2.3740074738016363,868,104,7,6,udp,-,RSTO,10601,80,O-Cloud-Edge-Server,Benign,evt_000014,2026-06-01 00:00:14
1.3125660296934094,754,424,12,9,tcp,ssh,SF,37622,8080,CU,Benign,evt_000015,2026-06-01 00:00:15
2.295000627265999,1403,334,14,5,udp,-,SF,48636,8080,O-Cloud-Edge-Server,Benign,evt_000016,2026-06-01 00:00:16
1.2328939193368007,1187,423,4,6,udp,ssh,RSTO,53278,80,CU,Benign,evt_000017,2026-06-01 00:00:17
2.702760241045818,671,489,12,4,tcp,-,RSTO,25302,443,O-Cloud-Edge-Server,Benign,evt_000018,2026-06-01 00:00:18
1.9600592712109977,802,116,7,9,tcp,http,S1,37398,8080,O-Cloud-Edge-Server,Benign,evt_000019,2026-06-01 00:00:19
1.8521101091637915,878,479,14,7,tcp,http,S1,12209,5000,CU,Benign,evt_000020,2026-06-01 00:00:20
1.4552563644768468,944,5,12,3,tcp,http,RSTO,28925,8080,DU,Benign,evt_000021,2026-06-01 00:00:21
2.978033070939224,257,359,16,0,tcp,-,SF,31725,8080,CU,Benign,evt_000022,2026-06-01 00:00:22
1.8763764143449584,183,161,18,9,udp,-,RSTO,3120,8080,O-Cloud-Edge-Server,Benign,evt_000023,2026-06-01 00:00:23
1.6573377422695141,445,91,15,3,udp,http,S1,60155,443,DU,Benign,evt_000024,2026-06-01 00:00:24
1.7182931596094164,414,338,17,6,udp,ssh,S1,42503,80,CU,Benign,evt_000025,2026-06-01 00:00:25
2.4258473484426792,542,391,11,14,udp,ssh,S1,12830,22,O-Cloud-Edge-Server,Benign,evt_000026,2026-06-01 00:00:26
2.2923552514912626,1053,386,26,8,udp,-,RSTO,58923,22,O-Cloud-Edge-Server,Benign,evt_000027,2026-06-01 00:00:27
2.3301860892767907,732,274,7,11,udp,http,RSTO,45628,5000,CU,Benign,evt_000028,2026-06-01 00:00:28
2.3446568024063064,878,261,10,4,tcp,ssh,RSTO,45739,443,O-Cloud-Edge-Server,Benign,evt_000029,2026-06-01 00:00:29
3.713318080696369,310,324,17,9,tcp,http,S1,61208,5000,CU,Benign,evt_000030,2026-06-01 00:00:30
1.6748679868923075,615,288,16,6,tcp,-,SF,27095,22,O-Cloud-Edge-Server,Benign,evt_000031,2026-06-01 00:00:31
1.5902058167427702,1034,326,15,7,tcp,-,SF,23934,22,O-Cloud-Edge-Server,Benign,evt_000032,2026-06-01 00:00:32
1.3489818174016976,1037,272,16,13,udp,-,RSTO,40820,5000,DU,Benign,evt_000033,2026-06-01 00:00:33
2.4927835380603964,510,374,2,4,tcp,-,SF,58343,22,CU,Benign,evt_000034,2026-06-01 00:00:34
2.9031778341767134,864,20,20,6,tcp,-,S1,53468,80,DU,Benign,evt_000035,2026-06-01 00:00:35
1.9088420338760999,1679,218,12,2,udp,-,S1,51771,443,CU,Benign,evt_000036,2026-06-01 00:00:36
1.3278748184299776,792,18,18,9,tcp,ssh,RSTO,50325,22,CU,Benign,evt_000037,2026-06-01 00:00:37
1.3404150274470084,522,284,3,3,udp,http,S1,3281,443,CU,Benign,evt_000038,2026-06-01 00:00:38
2.5204742302597607,730,502,14,9,tcp,-,RSTO,32710,80,CU,Benign,evt_000039,2026-06-01 00:00:39
2.594603336962754,836,164,10,0,udp,http,S1,23970,443,O-Cloud-Edge-Server,Benign,evt_000040,2026-06-01 00:00:40
